#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h00 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORPN20MM : Nombre de jours de fortes précipitations (jour(s))
#     ATAV : Ecart de température moyenne journalière (°C)
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
11253;47.1209;5.6587;RCP4.5;H1;8;0.97;-1.2;0.05;
11254;47.1178;5.764;RCP4.5;H1;9;0.98;-1.17;0.05;
11255;47.1146;5.8694;RCP4.5;H1;9;0.97;-1.73;0.04;
11256;47.1113;5.9747;RCP4.5;H1;12;0.96;-1.7;0.04;
11257;47.108;6.08;RCP4.5;H1;13;0.95;-1.73;0.04;
11258;47.1045;6.1852;RCP4.5;H1;14;0.98;-1.96;0.04;
11259;47.1009;6.2905;RCP4.5;H1;16;1;-1.76;0.03;
11260;47.0973;6.3958;RCP4.5;H1;17;1.05;-2.13;0.04;
11261;47.0935;6.501;RCP4.5;H1;19;1.08;-1.6;0.03;
11262;47.0896;6.6062;RCP4.5;H1;19;1.07;-1.7;0.03;
11263;47.0857;6.7114;RCP4.5;H1;20;0;0;0.03;
11321;47.1493;-2.2549;RCP4.5;H1;4;0;0;-0.03;
11322;47.1534;-2.1496;RCP4.5;H1;4;0.85;-0.26;-0.03;
11323;47.1575;-2.0442;RCP4.5;H1;4;0.85;-0.23;-0.03;
11324;47.1614;-1.9389;RCP4.5;H1;4;0.83;-0.03;-0.02;
11325;47.1653;-1.8335;RCP4.5;H1;4;0.83;-0.83;-0.02;
11326;47.1691;-1.7281;RCP4.5;H1;4;0.9;-0.67;-0.02;
11327;47.1727;-1.6228;RCP4.5;H1;4;0.9;-0.7;-0.02;
11328;47.1763;-1.5173;RCP4.5;H1;4;0.91;-0.7;-0.03;
11329;47.1798;-1.4119;RCP4.5;H1;4;0.91;-0.66;-0.03;
11330;47.1832;-1.3065;RCP4.5;H1;4;0.9;-0.73;-0.02;
11331;47.1865;-1.201;RCP4.5;H1;4;0.89;-0.6;-0.02;
11332;47.1897;-1.0956;RCP4.5;H1;4;0.92;-0.43;-0.02;
11333;47.1928;-0.9901;RCP4.5;H1;3;0.92;-0.87;-0.02;
11334;47.1958;-0.8846;RCP4.5;H1;3;0.92;-0.76;-0.02;
11335;47.1987;-0.7791;RCP4.5;H1;4;0.93;-0.9;-0.01;
11336;47.2015;-0.6736;RCP4.5;H1;4;0.93;-0.8;-0;
11337;47.2042;-0.5681;RCP4.5;H1;2;0.93;-0.56;0.01;
11338;47.2068;-0.4626;RCP4.5;H1;2;0.93;-0.67;0.01;
11339;47.2093;-0.357;RCP4.5;H1;2;0.93;-0.43;0.02;
11340;47.2117;-0.2515;RCP4.5;H1;2;0.93;-0.53;0.02;
11341;47.214;-0.1459;RCP4.5;H1;2;0.94;-0.3;0.03;
11342;47.2163;-0.0403;RCP4.5;H1;2;0.94;-0.27;0.03;
11343;47.2184;0.0652;RCP4.5;H1;2;0.93;-0.13;0.02;
11344;47.2204;0.1708;RCP4.5;H1;2;0.97;-0.4;0.01;
11345;47.2224;0.2764;RCP4.5;H1;2;0.96;-0.3;0.01;
11346;47.2242;0.382;RCP4.5;H1;2;0.97;-0.34;0.01;
11347;47.2259;0.4876;RCP4.5;H1;2;0.97;-0.2;0.01;
11348;47.2276;0.5933;RCP4.5;H1;2;0.96;0.1;0.01;
11349;47.2291;0.6989;RCP4.5;H1;3;0.97;-0.1;0.03;
11350;47.2306;0.8045;RCP4.5;H1;3;0.95;-0.34;0.02;
11351;47.2319;0.9101;RCP4.5;H1;3;0.96;-0.33;0.02;
11352;47.2332;1.0158;RCP4.5;H1;2;0.96;-0.3;0;
11353;47.2344;1.1214;RCP4.5;H1;3;0.96;-0.04;0;
11354;47.2354;1.2271;RCP4.5;H1;3;0.96;-0.04;0;
11355;47.2364;1.3327;RCP4.5;H1;3;0.96;-0.37;-0.01;
11356;47.2373;1.4384;RCP4.5;H1;2;0.97;-0.5;-0.01;
11357;47.238;1.544;RCP4.5;H1;2;0.95;-0.84;0.01;
11358;47.2387;1.6497;RCP4.5;H1;2;0.96;-0.9;0.01;
11359;47.2393;1.7554;RCP4.5;H1;2;0.98;-1;0;
11360;47.2398;1.861;RCP4.5;H1;2;0.98;-0.9;0.02;
11361;47.2402;1.9667;RCP4.5;H1;3;1;-1.1;0.01;
11362;47.2405;2.0724;RCP4.5;H1;3;1;-1.1;0.01;
11363;47.2406;2.178;RCP4.5;H1;3;0.98;-1.13;0.02;
11364;47.2407;2.2837;RCP4.5;H1;4;0.99;-1.16;0.02;
11365;47.2407;2.3894;RCP4.5;H1;4;0.98;-1.17;0.03;
11366;47.2406;2.495;RCP4.5;H1;5;0.97;-1.13;0.02;
11367;47.2405;2.6007;RCP4.5;H1;5;0.98;-1.06;0.02;
11368;47.2402;2.7064;RCP4.5;H1;5;1;-0.6;0.01;
11369;47.2398;2.812;RCP4.5;H1;4;0.99;-1.33;0.01;
11370;47.2393;2.9177;RCP4.5;H1;3;0.99;-1.23;0.01;
11371;47.2387;3.0234;RCP4.5;H1;4;1;-1.14;0.01;
11372;47.238;3.129;RCP4.5;H1;5;1;-1.04;-0;
11373;47.2373;3.2347;RCP4.5;H1;5;1;-0.86;0;
11374;47.2364;3.3403;RCP4.5;H1;5;1.01;-1.3;-0.01;
11375;47.2354;3.446;RCP4.5;H1;5;1;-1.04;-0;
11376;47.2344;3.5516;RCP4.5;H1;5;0.99;-1.2;-0;
11377;47.2332;3.6573;RCP4.5;H1;5;0.97;-1.03;0.02;
11378;47.2319;3.7629;RCP4.5;H1;5;0.98;-1.04;0.02;
11379;47.2306;3.8686;RCP4.5;H1;10;0.94;-1.53;0.01;
11380;47.2291;3.9742;RCP4.5;H1;12;1.01;-0.87;-0.01;
11381;47.2276;4.0798;RCP4.5;H1;12;1.03;-0.9;-0.01;
11382;47.226;4.1854;RCP4.5;H1;13;1.02;-0.83;-0.01;
11383;47.2242;4.291;RCP4.5;H1;7;1;-0.93;0.01;
11384;47.2224;4.3966;RCP4.5;H1;6;1;-1;0.01;
11385;47.2204;4.5022;RCP4.5;H1;6;0.99;-0.77;0.03;
11386;47.2184;4.6078;RCP4.5;H1;6;1;-0.66;0.03;
11387;47.2163;4.7134;RCP4.5;H1;7;1.03;-0.06;0.04;
11388;47.2141;4.819;RCP4.5;H1;7;1.06;0.36;0.03;
11389;47.2117;4.9245;RCP4.5;H1;7;1.05;0.56;0.04;
11390;47.2093;5.0301;RCP4.5;H1;5;1.03;0;0.04;
11391;47.2068;5.1356;RCP4.5;H1;5;1.01;-0.17;0.04;
11392;47.2042;5.2411;RCP4.5;H1;5;1.01;-0.1;0.04;
11393;47.2015;5.3467;RCP4.5;H1;4;1.03;-0.33;0.05;
11394;47.1987;5.4522;RCP4.5;H1;8;1;-0.13;0.04;
11395;47.1958;5.5577;RCP4.5;H1;9;0.99;-0.76;0.05;
11396;47.1928;5.6632;RCP4.5;H1;8;0.98;-1.17;0.05;
11397;47.1897;5.7686;RCP4.5;H1;8;0.98;-1.2;0.05;
11398;47.1865;5.8741;RCP4.5;H1;8;0.96;-1.54;0.04;
11399;47.1832;5.9795;RCP4.5;H1;11;0.95;-1.84;0.04;
11400;47.1798;6.085;RCP4.5;H1;13;0.96;-1.77;0.04;
11401;47.1764;6.1904;RCP4.5;H1;14;0.98;-1.2;0.04;
11402;47.1728;6.2958;RCP4.5;H1;16;1.02;-1.67;0.05;
11403;47.1691;6.4012;RCP4.5;H1;17;1.02;-1.76;0.04;
11404;47.1654;6.5066;RCP4.5;H1;17;1.03;-1.77;0.05;
11405;47.1615;6.612;RCP4.5;H1;18;1.02;-1.26;0.05;
11406;47.1575;6.7173;RCP4.5;H1;19;1.04;-1.43;0.05;
11407;47.1535;6.8226;RCP4.5;H1;19;0;0;0.05;
11464;47.2211;-2.2611;RCP4.5;H1;4;0;0;-0.02;
11465;47.2253;-2.1556;RCP4.5;H1;4;0.86;0;-0.03;
11466;47.2293;-2.0501;RCP4.5;H1;4;0.85;-0.26;-0.03;
11467;47.2333;-1.9446;RCP4.5;H1;4;0.83;-0.74;-0.02;
11468;47.2372;-1.8391;RCP4.5;H1;3;0.91;-0.27;-0.02;
11469;47.2409;-1.7336;RCP4.5;H1;4;0.9;0;-0.02;
11470;47.2446;-1.6281;RCP4.5;H1;4;0.9;-0.5;-0.02;
11471;47.2482;-1.5225;RCP4.5;H1;4;0.91;-0.86;-0.01;
11472;47.2517;-1.417;RCP4.5;H1;4;0.91;-0.86;-0.02;
11473;47.2551;-1.3114;RCP4.5;H1;5;0.91;-1;-0.02;
11474;47.2584;-1.2058;RCP4.5;H1;4;0.92;-0.47;-0.02;
11475;47.2616;-1.1002;RCP4.5;H1;4;0.92;-0.43;-0.02;
11476;47.2647;-0.9946;RCP4.5;H1;3;0.93;-0.93;-0.02;
11477;47.2677;-0.8889;RCP4.5;H1;4;0.93;-0.9;-0.02;
11478;47.2706;-0.7833;RCP4.5;H1;4;0.92;-0.93;-0.01;
11479;47.2734;-0.6777;RCP4.5;H1;2;0.94;-0.64;0;
11480;47.2761;-0.572;RCP4.5;H1;2;0.93;-0.7;0;
11481;47.2787;-0.4663;RCP4.5;H1;2;0.94;-0.86;0.01;
11482;47.2812;-0.3606;RCP4.5;H1;2;0.94;-0.73;0.02;
11483;47.2836;-0.2549;RCP4.5;H1;2;0.93;-0.56;0.02;
11484;47.286;-0.1492;RCP4.5;H1;2;0.93;-0.37;0.02;
11485;47.2882;-0.0435;RCP4.5;H1;2;0.94;0.03;0.02;
11486;47.2903;0.0622;RCP4.5;H1;2;0.95;0.1;0.01;
11487;47.2924;0.1679;RCP4.5;H1;3;0.97;-0.17;0.01;
11488;47.2943;0.2737;RCP4.5;H1;3;0.97;-0.26;0.01;
11489;47.2961;0.3794;RCP4.5;H1;3;0.97;-0.03;0;
11490;47.2979;0.4851;RCP4.5;H1;2;0.97;-0.34;0.01;
11491;47.2995;0.5909;RCP4.5;H1;2;0.96;0.07;0.01;
11492;47.3011;0.6967;RCP4.5;H1;3;0.96;-0.37;0.02;
11493;47.3025;0.8024;RCP4.5;H1;3;0.95;-0.2;0.01;
11494;47.3039;0.9082;RCP4.5;H1;3;0.94;-0.23;0.01;
11495;47.3051;1.014;RCP4.5;H1;3;0.94;0;0;
11496;47.3063;1.1198;RCP4.5;H1;2;0.97;-0.04;0;
11497;47.3074;1.2256;RCP4.5;H1;3;0.97;-0.03;0;
11498;47.3083;1.3314;RCP4.5;H1;3;0.97;-0.47;-0.01;
11499;47.3092;1.4372;RCP4.5;H1;2;1;-0.2;-0.01;
11500;47.31;1.543;RCP4.5;H1;2;0.99;-0.67;0;
11501;47.3107;1.6488;RCP4.5;H1;2;0.99;-0.9;0.01;
11502;47.3113;1.7546;RCP4.5;H1;2;0.99;-0.9;0.01;
11503;47.3117;1.8604;RCP4.5;H1;2;0.99;-0.87;0.02;
11504;47.3121;1.9662;RCP4.5;H1;2;0.99;-1.1;0.02;
11505;47.3124;2.072;RCP4.5;H1;2;0.98;-1.16;0.02;
11506;47.3126;2.1778;RCP4.5;H1;3;0.99;-1.1;0.02;
11507;47.3127;2.2836;RCP4.5;H1;4;0.99;-1.17;0.03;
11508;47.3127;2.3894;RCP4.5;H1;4;1;-1.47;0.03;
11509;47.3126;2.4952;RCP4.5;H1;5;0.98;-1.33;0.02;
11510;47.3124;2.6011;RCP4.5;H1;6;0.98;-1.17;0.02;
11511;47.3121;2.7069;RCP4.5;H1;5;0.99;-1.43;0.01;
11512;47.3117;2.8127;RCP4.5;H1;4;0.98;-1.26;-0;
11513;47.3113;2.9185;RCP4.5;H1;4;1.01;-1.27;0;
11514;47.3107;3.0243;RCP4.5;H1;4;0.98;-1.4;0.01;
11515;47.31;3.1301;RCP4.5;H1;4;1.01;-0.64;0;
11516;47.3092;3.2359;RCP4.5;H1;5;1.01;-0.9;-0;
11517;47.3084;3.3417;RCP4.5;H1;5;1.01;-1.06;-0.01;
11518;47.3074;3.4475;RCP4.5;H1;5;1.01;-0.94;-0.01;
11519;47.3063;3.5533;RCP4.5;H1;5;1;-1.14;-0;
11520;47.3052;3.6591;RCP4.5;H1;4;0.97;-1;0.02;
11521;47.3039;3.7648;RCP4.5;H1;5;0.97;-1.07;0.02;
11522;47.3025;3.8706;RCP4.5;H1;11;0.94;-1.46;0.01;
11523;47.3011;3.9764;RCP4.5;H1;12;0.99;-1.77;0;
11524;47.2995;4.0821;RCP4.5;H1;13;1.01;-1.57;0;
11525;47.2979;4.1879;RCP4.5;H1;7;0.99;-1.56;0;
11526;47.2962;4.2937;RCP4.5;H1;6;0.97;-0.8;0.02;
11527;47.2943;4.3994;RCP4.5;H1;6;0.97;-0.7;0.02;
11528;47.2924;4.5051;RCP4.5;H1;6;0.98;-0.77;0.04;
11529;47.2903;4.6109;RCP4.5;H1;6;0.97;-0.56;0.03;
11530;47.2882;4.7166;RCP4.5;H1;6;0.98;-0.34;0.03;
11531;47.286;4.8223;RCP4.5;H1;6;1.04;-0.3;0.04;
11532;47.2837;4.928;RCP4.5;H1;7;1.03;-0.26;0.04;
11533;47.2812;5.0337;RCP4.5;H1;5;1.03;0.17;0.04;
11534;47.2787;5.1394;RCP4.5;H1;5;1.02;-0.1;0.04;
11535;47.2761;5.245;RCP4.5;H1;5;1.02;-0.13;0.04;
11536;47.2734;5.3507;RCP4.5;H1;5;1.03;-0.46;0.05;
11537;47.2706;5.4564;RCP4.5;H1;5;1;-0.16;0.04;
11538;47.2677;5.562;RCP4.5;H1;6;1;-0.73;0.04;
11539;47.2647;5.6676;RCP4.5;H1;8;0.98;-0.9;0.05;
11540;47.2616;5.7732;RCP4.5;H1;8;0.98;-0.9;0.05;
11541;47.2584;5.8789;RCP4.5;H1;9;0.98;-1.5;0.05;
11542;47.2551;5.9844;RCP4.5;H1;10;0.99;-1.5;0.05;
11543;47.2517;6.09;RCP4.5;H1;10;1;-1.5;0.05;
11544;47.2482;6.1956;RCP4.5;H1;13;0.98;-1.33;0.04;
11545;47.2447;6.3011;RCP4.5;H1;14;0.98;-1.34;0.04;
11546;47.241;6.4067;RCP4.5;H1;15;0.99;-1.2;0.05;
11547;47.2372;6.5122;RCP4.5;H1;17;1.01;-1.3;0.05;
11548;47.2334;6.6177;RCP4.5;H1;17;1.03;-1.14;0.06;
11549;47.2294;6.7232;RCP4.5;H1;17;1.04;-1.34;0.05;
11550;47.2253;6.8287;RCP4.5;H1;18;1.08;-1.24;0.05;
11551;47.2212;6.9341;RCP4.5;H1;19;0;0;0.05;
11599;47.2562;-3.1114;RCP4.5;H1;3;0;0;-0;
11605;47.2843;-2.4784;RCP4.5;H1;4;0.88;0.5;-0.02;
11606;47.2887;-2.3728;RCP4.5;H1;4;0.88;0.27;-0.02;
11607;47.293;-2.2673;RCP4.5;H1;4;0.88;0.34;-0.02;
11608;47.2971;-2.1617;RCP4.5;H1;4;0.85;0.24;-0.03;
11609;47.3012;-2.056;RCP4.5;H1;4;0.86;0;-0.02;
11610;47.3052;-1.9504;RCP4.5;H1;3;0.91;0.14;-0.02;
11611;47.309;-1.8448;RCP4.5;H1;4;0.89;-0.27;-0.01;
11612;47.3128;-1.7391;RCP4.5;H1;4;0.9;-0.24;-0.02;
11613;47.3165;-1.6334;RCP4.5;H1;4;0.9;-0.44;-0.01;
11614;47.3201;-1.5277;RCP4.5;H1;4;0.91;-0.86;-0.01;
11615;47.3236;-1.422;RCP4.5;H1;4;0.91;-0.74;-0.01;
11616;47.327;-1.3163;RCP4.5;H1;4;0.91;-0.83;-0.01;
11617;47.3303;-1.2106;RCP4.5;H1;3;0.94;-0.57;-0.02;
11618;47.3335;-1.1048;RCP4.5;H1;3;0.93;-0.7;-0.02;
11619;47.3366;-0.9991;RCP4.5;H1;3;0.93;-0.86;-0.02;
11620;47.3396;-0.8933;RCP4.5;H1;4;0.92;-0.9;-0.02;
11621;47.3425;-0.7875;RCP4.5;H1;3;0.93;-0.76;-0.02;
11622;47.3453;-0.6817;RCP4.5;H1;2;0.94;-0.7;-0;
11623;47.348;-0.5759;RCP4.5;H1;2;0.93;-0.86;-0;
11624;47.3506;-0.4701;RCP4.5;H1;2;0.93;-0.8;0.01;
11625;47.3531;-0.3643;RCP4.5;H1;2;0.93;-0.5;0.01;
11626;47.3556;-0.2584;RCP4.5;H1;2;0.94;-0.37;0.01;
11627;47.3579;-0.1526;RCP4.5;H1;2;0.94;-0.36;0.02;
11628;47.3601;-0.0467;RCP4.5;H1;2;0.95;0.1;0.01;
11629;47.3623;0.0591;RCP4.5;H1;3;0.95;-0.04;0.02;
11630;47.3643;0.165;RCP4.5;H1;3;0.96;-0.6;0.01;
11631;47.3662;0.2709;RCP4.5;H1;3;0.96;-0.66;0.01;
11632;47.3681;0.3768;RCP4.5;H1;3;0.97;-0.04;0;
11633;47.3698;0.4827;RCP4.5;H1;2;0.95;-0.7;0;
11634;47.3715;0.5886;RCP4.5;H1;2;0.96;0.17;0;
11635;47.373;0.6945;RCP4.5;H1;3;0.95;-0.17;0.01;
11636;47.3745;0.8004;RCP4.5;H1;3;0.95;0.07;0.01;
11637;47.3758;0.9063;RCP4.5;H1;3;0.95;0.26;0.01;
11638;47.3771;1.0122;RCP4.5;H1;3;0.96;0.5;0.01;
11639;47.3783;1.1181;RCP4.5;H1;3;0.98;-0.16;0;
11640;47.3793;1.2241;RCP4.5;H1;3;0.97;-0.13;0;
11641;47.3803;1.33;RCP4.5;H1;2;0.99;-0.24;-0.01;
11642;47.3812;1.4359;RCP4.5;H1;2;0.99;-0.23;-0.01;
11643;47.3819;1.5419;RCP4.5;H1;2;0.99;-0.6;0;
11644;47.3826;1.6478;RCP4.5;H1;2;0.99;-0.93;0.01;
11645;47.3832;1.7538;RCP4.5;H1;2;0.99;-0.9;0.01;
11646;47.3837;1.8597;RCP4.5;H1;2;0.99;-0.93;0.02;
11647;47.3841;1.9657;RCP4.5;H1;2;0.99;-0.8;0.02;
11648;47.3844;2.0716;RCP4.5;H1;2;0.99;-0.8;0.02;
11649;47.3846;2.1776;RCP4.5;H1;3;0.98;-0.86;0.02;
11650;47.3847;2.2835;RCP4.5;H1;4;0.99;-0.86;0.02;
11651;47.3847;2.3895;RCP4.5;H1;4;0.99;-1.23;0.02;
11652;47.3846;2.4955;RCP4.5;H1;5;0.99;-1.24;0.02;
11653;47.3844;2.6014;RCP4.5;H1;5;0.98;-1.2;0.02;
11654;47.3841;2.7074;RCP4.5;H1;4;0.98;-1.4;0.01;
11655;47.3837;2.8133;RCP4.5;H1;5;0.98;-1.37;0;
11656;47.3832;2.9193;RCP4.5;H1;4;1.01;-1.3;0;
11657;47.3826;3.0252;RCP4.5;H1;4;0.98;-1.4;0.01;
11658;47.382;3.1312;RCP4.5;H1;4;1;-0.57;0;
11659;47.3812;3.2371;RCP4.5;H1;5;1.01;-0.73;-0;
11660;47.3803;3.343;RCP4.5;H1;5;1;-1.03;-0.01;
11661;47.3793;3.449;RCP4.5;H1;4;0.99;-1.3;-0;
11662;47.3783;3.5549;RCP4.5;H1;4;1;-1.1;-0;
11663;47.3771;3.6608;RCP4.5;H1;4;0.97;-1.33;0.02;
11664;47.3759;3.7668;RCP4.5;H1;4;0.98;-1.53;0.02;
11665;47.3745;3.8727;RCP4.5;H1;10;0.97;-1.53;0.02;
11666;47.373;3.9786;RCP4.5;H1;7;0.99;-1.53;0.02;
11667;47.3715;4.0845;RCP4.5;H1;7;0.99;-1.2;0.02;
11668;47.3698;4.1904;RCP4.5;H1;6;0.97;-1.63;0.02;
11669;47.3681;4.2963;RCP4.5;H1;5;0.97;-1.23;0.02;
11670;47.3663;4.4022;RCP4.5;H1;5;0.99;-0.97;0.02;
11671;47.3643;4.5081;RCP4.5;H1;5;0.97;-0.46;0.03;
11672;47.3623;4.6139;RCP4.5;H1;6;0.98;-0.27;0.03;
11673;47.3601;4.7198;RCP4.5;H1;6;0.98;-0.53;0.03;
11674;47.3579;4.8256;RCP4.5;H1;7;1.01;-0.27;0.03;
11675;47.3556;4.9315;RCP4.5;H1;6;1.01;-0.2;0.03;
11676;47.3532;5.0373;RCP4.5;H1;5;1.03;0;0.04;
11677;47.3506;5.1431;RCP4.5;H1;5;1.01;-0.13;0.04;
11678;47.348;5.249;RCP4.5;H1;5;1.01;-0.23;0.04;
11679;47.3453;5.3548;RCP4.5;H1;5;1.03;-0.16;0.04;
11680;47.3425;5.4606;RCP4.5;H1;4;1;0.03;0.04;
11681;47.3396;5.5663;RCP4.5;H1;6;1;-0.6;0.04;
11682;47.3366;5.6721;RCP4.5;H1;6;1;-0.73;0.05;
11683;47.3335;5.7779;RCP4.5;H1;9;0.98;-1.2;0.05;
11684;47.3303;5.8836;RCP4.5;H1;9;0.98;-1.34;0.05;
11685;47.327;5.9894;RCP4.5;H1;9;0.98;-1.23;0.05;
11686;47.3236;6.0951;RCP4.5;H1;10;0.99;-1.6;0.05;
11687;47.3201;6.2008;RCP4.5;H1;9;0.98;-1.33;0.05;
11688;47.3165;6.3065;RCP4.5;H1;10;0.98;-1.5;0.05;
11689;47.3129;6.4121;RCP4.5;H1;14;0.97;-1.4;0.04;
11690;47.3091;6.5178;RCP4.5;H1;15;1.01;-1.63;0.05;
11691;47.3052;6.6235;RCP4.5;H1;13;1.01;-0.8;0.06;
11692;47.3012;6.7291;RCP4.5;H1;13;1.01;-0.8;0.06;
11693;47.2972;6.8347;RCP4.5;H1;17;1.01;-1.23;0.07;
11694;47.293;6.9403;RCP4.5;H1;18;0;0;0.06;
11695;47.2887;7.0459;RCP4.5;H1;19;0;0;0.06;
11741;47.3229;-3.2243;RCP4.5;H1;4;0;0;-0;
11742;47.3279;-3.1188;RCP4.5;H1;4;0;0;-0;
11744;47.3377;-2.9075;RCP4.5;H1;3;0;0;-0.03;
11748;47.3562;-2.4849;RCP4.5;H1;3;0.87;0.2;-0.03;
11749;47.3605;-2.3792;RCP4.5;H1;3;0.86;0.17;-0.03;
11750;47.3648;-2.2735;RCP4.5;H1;3;0.87;0.13;-0.03;
11751;47.369;-2.1677;RCP4.5;H1;4;0.85;0.24;-0.03;
11752;47.373;-2.062;RCP4.5;H1;4;0.85;0.04;-0.02;
11753;47.377;-1.9562;RCP4.5;H1;4;0.9;-0.07;-0.02;
11754;47.3809;-1.8504;RCP4.5;H1;4;0.89;-0.8;-0.01;
11755;47.3847;-1.7446;RCP4.5;H1;4;0.91;-0.6;-0;
11756;47.3884;-1.6388;RCP4.5;H1;4;0.91;-0.8;-0;
11757;47.392;-1.5329;RCP4.5;H1;4;0.9;-0.5;-0;
11758;47.3954;-1.4271;RCP4.5;H1;4;0.9;-0.7;-0;
11759;47.3988;-1.3212;RCP4.5;H1;4;0.89;-0.86;-0.01;
11760;47.4021;-1.2153;RCP4.5;H1;3;0.9;-1.07;-0.02;
11761;47.4053;-1.1095;RCP4.5;H1;3;0.9;-1;-0.02;
11762;47.4085;-1.0036;RCP4.5;H1;3;0.89;-0.9;-0.02;
11763;47.4115;-0.8976;RCP4.5;H1;3;0.91;-0.7;-0.01;
11764;47.4144;-0.7917;RCP4.5;H1;3;0.91;-0.77;-0.01;
11765;47.4172;-0.6858;RCP4.5;H1;2;0.91;-0.8;-0.01;
11766;47.4199;-0.5798;RCP4.5;H1;2;0.94;-0.7;-0;
11767;47.4225;-0.4739;RCP4.5;H1;2;0.93;-0.73;0.01;
11768;47.4251;-0.3679;RCP4.5;H1;2;0.94;-0.47;0.01;
11769;47.4275;-0.2619;RCP4.5;H1;2;0.93;-0.16;0.01;
11770;47.4298;-0.1559;RCP4.5;H1;3;0.94;-0.27;0.01;
11771;47.432;-0.05;RCP4.5;H1;3;0.94;-0.04;0.01;
11772;47.4342;0.0561;RCP4.5;H1;3;0.94;-0.07;0.01;
11773;47.4362;0.1621;RCP4.5;H1;3;0.94;0.34;0;
11774;47.4382;0.2681;RCP4.5;H1;3;0.96;-0.34;-0;
11775;47.44;0.3741;RCP4.5;H1;3;0.96;-0.4;-0;
11776;47.4418;0.4802;RCP4.5;H1;2;0.96;0.37;-0.01;
11777;47.4434;0.5862;RCP4.5;H1;3;0.96;0.5;-0;
11778;47.445;0.6922;RCP4.5;H1;3;0.96;0.53;-0;
11779;47.4464;0.7983;RCP4.5;H1;3;0.95;0.2;0.01;
11780;47.4478;0.9044;RCP4.5;H1;3;0.95;0.27;0.01;
11781;47.449;1.0104;RCP4.5;H1;3;0.96;0.63;0.01;
11782;47.4502;1.1165;RCP4.5;H1;2;0.97;0.03;-0;
11783;47.4513;1.2226;RCP4.5;H1;3;0.97;-0.2;0;
11784;47.4523;1.3286;RCP4.5;H1;2;0.99;-0.3;-0;
11785;47.4531;1.4347;RCP4.5;H1;2;1;-0.13;-0;
11786;47.4539;1.5408;RCP4.5;H1;2;1;-0.07;-0;
11787;47.4546;1.6469;RCP4.5;H1;2;1;-0.67;0.01;
11788;47.4552;1.753;RCP4.5;H1;2;0.99;-0.67;0.01;
11789;47.4557;1.8591;RCP4.5;H1;2;1;-0.73;0.01;
11790;47.456;1.9652;RCP4.5;H1;2;0.99;-0.8;0.01;
11791;47.4563;2.0713;RCP4.5;H1;2;0.99;-0.8;0.01;
11792;47.4565;2.1774;RCP4.5;H1;2;0.99;-0.6;0.01;
11793;47.4566;2.2835;RCP4.5;H1;3;0.99;-0.83;0.01;
11794;47.4566;2.3896;RCP4.5;H1;4;0.98;-1.16;0.02;
11795;47.4565;2.4957;RCP4.5;H1;5;0.97;-1.1;0.01;
11796;47.4563;2.6018;RCP4.5;H1;4;0.98;-1.4;0.01;
11797;47.456;2.7079;RCP4.5;H1;4;0.98;-1.4;0.01;
11798;47.4557;2.814;RCP4.5;H1;4;0.98;-1.44;-0;
11799;47.4552;2.9201;RCP4.5;H1;4;1;-1.33;-0;
11800;47.4546;3.0261;RCP4.5;H1;5;0.99;-0.94;0.01;
11801;47.4539;3.1322;RCP4.5;H1;4;1;-0.43;0.01;
11802;47.4531;3.2383;RCP4.5;H1;4;1;-0.53;0.01;
11803;47.4523;3.3444;RCP4.5;H1;4;0.99;-1.2;-0.01;
11804;47.4513;3.4505;RCP4.5;H1;4;0.99;-1.5;-0;
11805;47.4502;3.5566;RCP4.5;H1;4;0.99;-1.53;-0;
11806;47.4491;3.6626;RCP4.5;H1;3;1;-1.37;0.01;
11807;47.4478;3.7687;RCP4.5;H1;5;0.98;-1.33;0.02;
11808;47.4464;3.8748;RCP4.5;H1;6;0.99;-1.6;0.02;
11809;47.445;3.9808;RCP4.5;H1;7;0.99;-1.77;0.03;
11810;47.4434;4.0869;RCP4.5;H1;7;0.99;-1.9;0.03;
11811;47.4418;4.1929;RCP4.5;H1;5;0.99;-1.53;0.03;
11812;47.44;4.2989;RCP4.5;H1;5;0.97;-1.2;0.02;
11813;47.4382;4.405;RCP4.5;H1;5;0.97;-1.27;0.02;
11814;47.4362;4.511;RCP4.5;H1;5;0.96;-0.87;0.04;
11815;47.4342;4.617;RCP4.5;H1;6;0.96;-0.37;0.03;
11816;47.4321;4.723;RCP4.5;H1;6;0.97;-0.37;0.03;
