#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 18h56 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
1572;42.0329;9.5207;RCP8.5;H1;0;0;0;0.14;
1637;42.3488;1.9977;RCP8.5;H1;1.53;1;-1.96;0.05;
1638;42.349;2.0945;RCP8.5;H1;0;0;0;0.04;
1641;42.3493;2.385;RCP8.5;H1;0;0;0;0.08;
1642;42.3492;2.4818;RCP8.5;H1;1.27;1;-1.23;0.05;
1643;42.349;2.5786;RCP8.5;H1;1.23;1;-1.07;0.06;
1644;42.3488;2.6754;RCP8.5;H1;1.18;1;-1.1;0.07;
1705;42.1656;8.5683;RCP8.5;H1;1.13;4;-0.53;0.19;
1706;42.1599;8.6645;RCP8.5;H1;1.3;4;-0.46;0.18;
1707;42.1541;8.7607;RCP8.5;H1;1.34;4;-0.27;0.15;
1708;42.1482;8.8569;RCP8.5;H1;1.39;2;0;0.17;
1709;42.1422;8.953;RCP8.5;H1;1.42;3;0.6;0.12;
1710;42.1361;9.0491;RCP8.5;H1;1.36;3;0.47;0.12;
1711;42.1299;9.1452;RCP8.5;H1;1.44;2;0.44;0.12;
1712;42.1237;9.2413;RCP8.5;H1;1.44;1;-0.1;0.08;
1713;42.1173;9.3374;RCP8.5;H1;1.3;2;0.33;0.09;
1714;42.1109;9.4334;RCP8.5;H1;1.2;2;0.17;0.14;
1715;42.1044;9.5295;RCP8.5;H1;1.19;3;-0.07;0.14;
1779;42.4202;1.9004;RCP8.5;H1;0;0;0;0.03;
1780;42.4206;1.9973;RCP8.5;H1;1.55;2;-1.7;0.04;
1781;42.4208;2.0942;RCP8.5;H1;1.5;1;-1.43;0.03;
1782;42.421;2.1912;RCP8.5;H1;1.25;2;-0.83;0.04;
1783;42.4211;2.2881;RCP8.5;H1;0;0;0;0.04;
1784;42.4211;2.3851;RCP8.5;H1;1.33;3;-1;0.06;
1785;42.421;2.482;RCP8.5;H1;1.27;4;-1.9;0.11;
1786;42.4209;2.5789;RCP8.5;H1;1.15;2;-2.03;0.1;
1787;42.4206;2.6759;RCP8.5;H1;1.18;2;-1.73;0.1;
1788;42.4202;2.7728;RCP8.5;H1;1.2;2;-0.9;0.09;
1789;42.4198;2.8697;RCP8.5;H1;0;0;0;0.11;
1791;42.4186;3.0636;RCP8.5;H1;0;0;0;0.1;
1792;42.4179;3.1605;RCP8.5;H1;0;0;0;0.11;
